;sp1;sp2;sp1_inc;sp2_inc;obs_cooccur;prob_cooccur;exp_cooccur;p_lt;p_gt;Negative_association;Positive_association;sp1_name;sp2_name;Experimento
51;6;7;10;30;5;0.061;4.3;0.79948;0.43689;0;0;Felis.silvestris;Crocuta.crocuta;1
52;6;8;10;41;6;0.084;5.9;0.6667;0.6025;0;0;Felis.silvestris;Canis.lupus;1
53;6;9;10;39;9;0.08;5.6;0.9984;0.01816;0;1;Felis.silvestris;Vulpes.vulpes;1
54;6;10;10;2;0;0.004;0.3;0.73292;1;0;0;Felis.silvestris;Vulpes.lagopus;1
55;6;11;10;12;4;0.024;1.7;0.9898;0.0607;0;0;Felis.silvestris;Meles.meles;1
56;6;12;10;51;7;0.104;7.3;0.5476;0.73519;0;0;Felis.silvestris;Homo_neand;1
57;6;13;10;2;0;0.004;0.3;0.73292;1;0;0;Felis.silvestris;Homo.sapiens;1
58;7;8;30;41;22;0.251;17.6;0.99275;0.02622;0;1;Crocuta.crocuta;Canis.lupus;1
59;7;9;30;39;18;0.239;16.7;0.80717;0.35183;0;0;Crocuta.crocuta;Vulpes.vulpes;1
60;7;10;30;2;1;0.012;0.9;0.81988;0.67702;0;0;Crocuta.crocuta;Vulpes.lagopus;1
61;7;11;30;12;6;0.073;5.1;0.80811;0.40612;0;0;Crocuta.crocuta;Meles.meles;1
62;7;12;30;51;20;0.312;21.9;0.22998;0.89943;0;0;Crocuta.crocuta;Homo_neand;1
63;7;13;30;2;2;0.012;0.9;1;0.18012;0;0;Crocuta.crocuta;Homo.sapiens;1
64;8;9;41;39;26;0.326;22.8;0.96312;0.09715;0;0;Canis.lupus;Vulpes.vulpes;1
65;8;10;41;2;1;0.017;1.2;0.66046;0.83188;0;0;Canis.lupus;Vulpes.lagopus;1
66;8;11;41;12;10;0.1;7;0.99065;0.05214;0;0;Canis.lupus;Meles.meles;1
67;8;12;41;51;27;0.427;29.9;0.09665;0.96927;0;0;Canis.lupus;Homo_neand;1
68;8;13;41;2;1;0.017;1.2;0.66046;0.83188;0;0;Canis.lupus;Homo.sapiens;1
69;9;10;39;2;1;0.016;1.1;0.69317;0.80745;0;0;Vulpes.vulpes;Vulpes.lagopus;1
70;9;11;39;12;10;0.096;6.7;0.99475;0.03304;0;1;Vulpes.vulpes;Meles.meles;1
71;9;12;39;51;28;0.406;28.4;0.52037;0.6879;0;0;Vulpes.vulpes;Homo_neand;1
72;9;13;39;2;1;0.016;1.1;0.69317;0.80745;0;0;Vulpes.vulpes;Homo.sapiens;1
73;10;11;2;12;0;0.005;0.3;0.68447;1;0;0;Vulpes.lagopus;Meles.meles;1
74;10;12;2;51;0;0.021;1.5;0.07081;1;0;0;Vulpes.lagopus;Homo_neand;1
75;10;13;2;2;0;0.001;0.1;0.94327;1;0;0;Vulpes.lagopus;Homo.sapiens;1
76;11;12;12;51;8;0.125;8.7;0.41755;0.81444;0;0;Meles.meles;Homo_neand;1
77;11;13;12;2;0;0.005;0.3;0.68447;1;0;0;Meles.meles;Homo.sapiens;1
78;12;13;51;2;0;0.021;1.5;0.07081;1;0;0;Homo_neand;Homo.sapiens;1
79;1;2;18;34;10;0.125;8.7;0.83174;0.33932;0;0;Ursus.arctos;Ursus.spelaeus;2
80;1;3;18;7;3;0.026;1.8;0.93328;0.251;0;0;Ursus.arctos;Panthera.spelaea;2
81;1;4;18;7;2;0.026;1.8;0.749;0.58271;0;0;Ursus.arctos;Panthera.leo;2
82;1;5;18;11;3;0.04;2.8;0.70344;0.58035;0;0;Ursus.arctos;Panthera.pardus;2
83;1;6;18;10;5;0.037;2.6;0.98541;0.07073;0;0;Ursus.arctos;Felis.silvestris;2
84;1;7;18;30;12;0.11;7.7;0.99596;0.01835;0;1;Ursus.arctos;Crocuta.crocuta;2
85;1;8;18;41;14;0.151;10.5;0.98801;0.04808;0;1;Ursus.arctos;Canis.lupus;2
