;Ursus.spelaeus;Ursus.arctos;Panthera.spelaea;Panthera.leo;Panthera.pardus;Crocuta.crocuta;Canis.lupus;Meles.meles;Vulpes.vulpes;Vulpes.lagopus;Felis.silvestris;Homo_neand;Homo.sapiens;Age
Vulpes.lagopus2;0.91668771;0.941824533;0.950692932;0.972705728;0.90833045;0.928464493;0.938661068;0.9529119;0.917806922;0;0.87608285;0.93186179;0.951357225;29
Felis.silvestris2;0.79052378;0.844518843;0.844215239;0.870002069;0.936431866;0.811435891;0.821089731;0.915256281;0.827705922;0.87608285;0;0.887873252;0.845562013;29
Homo_neand2;0.950858052;0.968921673;0.946133725;0.959789785;0.971976507;0.969521084;0.962094231;0.957244554;0.971896498;0.93186179;0.887873252;0;0.967101196;29
Homo.sapiens2;0.960291728;0.982205915;0.966020497;0.973362347;0.930114716;0.976968332;0.986136062;0.940985787;0.978564274;0.951357225;0.845562013;0.967101196;0;29
Ursus.spelaeus3;0;0.976150265;0.961263325;0.96105574;0.897343439;0.977926711;0.983423071;0.909312425;0.977763035;0.914969121;0.787330505;0.949398072;0.96124151;30
Ursus.arctos3;0.976150265;0;0.967052236;0.972600824;0.932363942;0.985716581;0.991965537;0.936926219;0.990088782;0.939864319;0.840516574;0.967541189;0.98241219;30
Panthera.spelaea3;0.961263325;0.967052236;0;0.977703522;0.904081377;0.956888043;0.968337328;0.933878628;0.95216854;0.950375214;0.845017023;0.946934699;0.965367701;30
Panthera.leo3;0.96105574;0.972600824;0.977703522;0;0.930448092;0.963440647;0.973793633;0.956393028;0.95670844;0.971964787;0.8696992;0.959985494;0.973041566;30
Panthera.pardus3;0.897343439;0.932363942;0.904081377;0.930448092;0;0.922274656;0.914702073;0.952285512;0.932425662;0.909505911;0.935777318;0.97174758;0.929767578;30
Crocuta.crocuta3;0.977926711;0.985716581;0.956888043;0.963440647;0.922274656;0;0.985303007;0.919730395;0.984444557;0.926296296;0.807994451;0.968215362;0.977601805;30
Canis.lupus3;0.983423071;0.991965537;0.968337328;0.973793633;0.914702073;0.985303007;0;0.926151698;0.990560648;0.936250573;0.817759324;0.9607339;0.986528481;30
Meles.meles3;0.909312425;0.936926219;0.933878628;0.956393028;0.952285512;0.919730395;0.926151698;0;0.920285355;0.953933133;0.915929651;0.958606277;0.939151464;30
Vulpes.vulpes3;0.977763035;0.990088782;0.95216854;0.95670844;0.932425662;0.984444557;0.990560648;0.920285355;0;0.91485479;0.823212398;0.970018904;0.979636283;30
Vulpes.lagopus3;0.914969121;0.939864319;0.950375214;0.971964787;0.909505911;0.926296296;0.936250573;0.953933133;0.91485479;0;0.878648932;0.932722163;0.948519372;30
Felis.silvestris3;0.787330505;0.840516574;0.845017023;0.8696992;0.935777318;0.807994451;0.817759324;0.915929651;0.823212398;0.878648932;0;0.887833251;0.841721424;30
Homo_neand3;0.949398072;0.967541189;0.946934699;0.959985494;0.97174758;0.968215362;0.9607339;0.958606277;0.970018904;0.932722163;0.887833251;0;0.967684196;30
Homo.sapiens3;0.96124151;0.98241219;0.965367701;0.973041566;0.929767578;0.977601805;0.986528481;0.939151464;0.979636283;0.948519372;0.841721424;0.967684196;0;30
Ursus.spelaeus4;0;0.975940623;0.961050143;0.95985619;0.896797572;0.9777915;0.982969419;0.90933543;0.977023372;0.913233134;0.785142364;0.948526005;0.963177449;31
Ursus.arctos4;0.975940623;0;0.966905374;0.971715778;0.931035038;0.985297322;0.991594477;0.936186319;0.989769493;0.938081336;0.837603009;0.965805502;0.982840738;31
Panthera.spelaea4;0.961050143;0.966905374;0;0.977598668;0.907277869;0.956505772;0.967360425;0.937622762;0.951438913;0.950813316;0.847997763;0.94898586;0.965574714;31
Panthera.leo4;0.95985619;0.971715778;0.977598668;0;0.931712718;0.962910938;0.972910137;0.956665685;0.955613926;0.971395157;0.87001537;0.960448567;0.972819998;31
Panthera.pardus4;0.896797572;0.931035038;0.907277869;0.931712718;0;0.921371347;0.914461645;0.952741263;0.930664585;0.911235308;0.934969324;0.971655264;0.929882906;31
Crocuta.crocuta4;0.9777915;0.985297322;0.956505772;0.962910938;0.921371347;0;0.984550709;0.918921534;0.983353247;0.924653385;0.804992866;0.966294047;0.978497723;31
Canis.lupus4;0.982969419;0.991594477;0.967360425;0.972910137;0.914461645;0.984550709;0;0.92478711;0.9905591;0.934236812;0.816160799;0.959647073;0.98732001;31
Meles.meles4;0.90933543;0.936186319;0.937622762;0.956665685;0.952741263;0.918921534;0.92478711;0;0.918366396;0.955323176;0.917336254;0.960144342;0.936651835;31
Vulpes.vulpes4;0.977023372;0.989769493;0.951438913;0.955613926;0.930664585;0.983353247;0.9905591;0.918366396;0;0.912723018;0.819414548;0.967623223;0.981145456;31
Vulpes.lagopus4;0.913233134;0.938081336;0.950813316;0.971395157;0.911235308;0.924653385;0.934236812;0.955323176;0.912723018;0;0.881584905;0.934201627;0.945555171;31
Felis.silvestris4;0.785142364;0.837603009;0.847997763;0.87001537;0.934969324;0.804992866;0.816160799;0.917336254;0.819414548;0.881584905;0;0.888339561;0.838599523;31
Homo_neand4;0.948526005;0.965805502;0.94898586;0.960448567;0.971655264;0.966294047;0.959647073;0.960144342;0.967623223;0.934201627;0.888339561;0;0.968013256;31
Homo.sapiens4;0.963177449;0.982840738;0.965574714;0.972819998;0.929882906;0.978497723;0.98732001;0.936651835;0.981145456;0.945555171;0.838599523;0.968013256;0;31
Ursus.spelaeus5;0;0.975224556;0.960237792;0.9589047;0.894492751;0.97700707;0.982984983;0.908248753;0.976408366;0.911357546;0.787175779;0.947229458;0.965415506;32
Ursus.arctos5;0.975224556;0;0.96543707;0.970515632;0.930896725;0.985240673;0.991125559;0.935628493;0.98938578;0.936141487;0.83985238;0.966307623;0.984379626;32
Panthera.spelaea5;0.960237792;0.96543707;0;0.976767885;0.904763039;0.955423444;0.966485389;0.937616808;0.949951564;0.94908256;0.849774379;0.948516093;0.96496455;32
Panthera.leo5;0.9589047;0.970515632;0.976767885;0;0.929236458;0.962600282;0.97169515;0.955360653;0.953885324;0.970054269;0.86952298;0.958500292;0.972315994;32
Panthera.pardus5;0.894492751;0.930896725;0.904763039;0.929236458;0;0.921038626;0.911839398;0.9508007;0.928745937;0.910885286;0.936234693;0.971071135;0.930685325;32
Crocuta.crocuta5;0.97700707;0.985240673;0.955423444;0.962600282;0.921038626;0;0.984440913;0.918800188;0.982743049;0.923943039;0.809310382;0.965901166;0.980225516;32
