Species;Ursus.spelaeus;Ursus.arctos;Panthera.spelaea;Panthera.leo;Panthera.pardus;Crocuta.crocuta;Canis.lupus;Meles.meles;Vulpes.vulpes;Vulpes.lagopus;Felis.silvestris;Homo_neand;Homo.sapiens;Age
Felis.silvestris;0.470482803;0.559426396;0.553570489;0.577033499;0.701037359;0.512491268;0.523238037;0.67973182;0.531560578;0.602054699;0;0.60526327;0.579961775;29
Homo_neand;0.772738527;0.81290552;0.734907487;0.77597837;0.828604034;0.831069805;0.807292606;0.769215138;0.844179141;0.703303247;0.60526327;0;0.821504429;29
Homo.sapiens;0.789885104;0.867298811;0.795885908;0.840502234;0.726503377;0.852167752;0.890522424;0.768686346;0.853962032;0.771431949;0.579961775;0.821504429;0;29
Ursus.spelaeus;0;0.827019432;0.795942369;0.789162846;0.665245845;0.856993131;0.858485606;0.680683124;0.844758938;0.692423079;0.465940505;0.767797788;0.792719405;30
Ursus.arctos;0.827019432;0;0.802273772;0.835244131;0.718964791;0.873854073;0.908785757;0.745875873;0.890425524;0.743692499;0.551203655;0.809486461;0.867885667;30
Panthera.spelaea;0.795942369;0.802273772;0;0.836426952;0.659832898;0.780965708;0.813051525;0.712697567;0.762655708;0.774742339;0.554513841;0.737739416;0.795920686;30
Panthera.leo;0.789162846;0.835244131;0.836426952;0;0.707928013;0.799833113;0.841533461;0.776533465;0.781670157;0.825799168;0.575488086;0.775654158;0.839149401;30
Panthera.pardus;0.665245845;0.718964791;0.659832898;0.707928013;0;0.712799289;0.695133894;0.752915545;0.740590909;0.667967021;0.699198626;0.829407759;0.727636255;30
Crocuta.crocuta;0.856993131;0.873854073;0.780965708;0.799833113;0.712799289;0;0.885852284;0.712538204;0.879172909;0.709388607;0.505712165;0.826319573;0.854817403;30
Canis.lupus;0.858485606;0.908785757;0.813051525;0.841533461;0.695133894;0.885852284;0;0.733241258;0.901366175;0.739604134;0.514945703;0.803845682;0.8916722;30
Meles.meles;0.680683124;0.745875873;0.712697567;0.776533465;0.752915545;0.712538204;0.733241258;0;0.711408401;0.759700454;0.681127233;0.771865369;0.757008277;30
Vulpes.vulpes;0.844758938;0.890425524;0.762655708;0.781670157;0.740590909;0.879172909;0.901366175;0.711408401;0;0.683529741;0.523610043;0.840030465;0.858962718;30
Vulpes.lagopus;0.692423079;0.743692499;0.774742339;0.825799168;0.667967021;0.709388607;0.739604134;0.759700454;0.683529741;0;0.60577276;0.706208762;0.763853999;30
Felis.silvestris;0.465940505;0.551203655;0.554513841;0.575488086;0.699198626;0.505712165;0.514945703;0.681127233;0.523610043;0.60577276;0;0.604862595;0.56840222;30
Homo_neand;0.767797788;0.809486461;0.737739416;0.775654158;0.829407759;0.826319573;0.803845682;0.771865369;0.840030465;0.706208762;0.604862595;0;0.823995704;30
Homo.sapiens;0.792719405;0.867885667;0.795920686;0.839149401;0.727636255;0.854817403;0.8916722;0.757008277;0.858962718;0.763853999;0.56840222;0.823995704;0;30
Ursus.spelaeus;0;0.825514805;0.795529568;0.787456743;0.663724984;0.856903343;0.857589466;0.679175219;0.841309754;0.688416384;0.463012036;0.765048678;0.797666117;31
Ursus.arctos;0.825514805;0;0.803953364;0.83249411;0.71708026;0.871847269;0.906363704;0.74390515;0.889051908;0.738576058;0.545683607;0.805162361;0.868693864;31
Panthera.spelaea;0.795529568;0.803953364;0;0.835844832;0.666326967;0.782301669;0.813641314;0.721649368;0.763886428;0.775025479;0.558075562;0.7439924;0.799040209;31
Panthera.leo;0.787456743;0.83249411;0.835844832;0;0.710829228;0.79785449;0.838196739;0.776343927;0.778858691;0.822599843;0.575105336;0.775656841;0.836466371;31
Panthera.pardus;0.663724984;0.71708026;0.666326967;0.710829228;0;0.711428187;0.694205338;0.754769563;0.737174622;0.672024756;0.697352377;0.83032414;0.729190124;31
Crocuta.crocuta;0.856903343;0.871847269;0.782301669;0.79785449;0.711428187;0;0.883521277;0.707398861;0.874368794;0.704846197;0.499829139;0.820230984;0.857704769;31
Canis.lupus;0.857589466;0.906363704;0.813641314;0.838196739;0.694205338;0.883521277;0;0.727534441;0.901165628;0.733458366;0.509416033;0.80000419;0.894353265;31
Meles.meles;0.679175219;0.74390515;0.721649368;0.776343927;0.754769563;0.707398861;0.727534441;0;0.706231671;0.762752134;0.683927541;0.775470753;0.744782957;31
Vulpes.vulpes;0.841309754;0.889051908;0.763886428;0.778858691;0.737174622;0.874368794;0.901165628;0.706231671;0;0.67862191;0.516879329;0.833769557;0.865420464;31
Vulpes.lagopus;0.688416384;0.738576058;0.775025479;0.822599843;0.672024756;0.704846197;0.733458366;0.762752134;0.67862191;0;0.609650795;0.710043827;0.75544574;31
Felis.silvestris;0.463012036;0.545683607;0.558075562;0.575105336;0.697352377;0.499829139;0.509416033;0.683927541;0.516879329;0.609650795;0;0.605213233;0.556099616;31
Homo_neand;0.765048678;0.805162361;0.7439924;0.775656841;0.83032414;0.820230984;0.80000419;0.775470753;0.833769557;0.710043827;0.605213233;0;0.826012431;31
Homo.sapiens;0.797666117;0.868693864;0.799040209;0.836466371;0.729190124;0.857704769;0.894353265;0.744782957;0.865420464;0.75544574;0.556099616;0.826012431;0;31
Ursus.spelaeus;0;0.823444332;0.793321197;0.785462203;0.658390148;0.852609688;0.857758244;0.675889093;0.840402058;0.686383065;0.463165409;0.76098492;0.804071167;32
Ursus.arctos;0.823444332;0;0.799433616;0.828508864;0.715436422;0.872015913;0.902642256;0.738903987;0.887121792;0.734639556;0.546601009;0.806708667;0.87425492;32
Panthera.spelaea;0.793321197;0.799433616;0;0.833144706;0.661433887;0.781271815;0.812998121;0.720722558;0.762064226;0.771398366;0.559989556;0.743218133;0.798656664;32
Panthera.leo;0.785462203;0.828508864;0.833144706;0;0.70659054;0.796825434;0.834333275;0.770512161;0.775604265;0.818850185;0.573194831;0.771059347;0.83304889;32
Panthera.pardus;0.658390148;0.715436422;0.661433887;0.70659054;0;0.707990113;0.687741378;0.751336068;0.731783103;0.671809635;0.700399506;0.827545285;0.728802547;32
Crocuta.crocuta;0.852609688;0.872015913;0.781271815;0.796825434;0.707990113;0;0.883823586;0.703518668;0.87380199;0.704013859;0.503432619;0.815898639;0.865232907;32
Canis.lupus;0.857758244;0.902642256;0.812998121;0.834333275;0.687741378;0.883823586;0;0.719472374;0.901834281;0.727318658;0.505972171;0.795858845;0.897265998;32
Meles.meles;0.675889093;0.738903987;0.720722558;0.770512161;0.751336068;0.703518668;0.719472374;0;0.699616661;0.763273898;0.683416983;0.776383416;0.736901158;32
Vulpes.vulpes;0.840402058;0.887121792;0.762064226;0.775604265;0.731783103;0.87380199;0.901834281;0.699616661;0;0.67543906;0.515614596;0.830156388;0.871270105;32
Vulpes.lagopus;0.686383065;0.734639556;0.771398366;0.818850185;0.671809635;0.704013859;0.727318658;0.763273898;0.67543906;0;0.611743588;0.713597526;0.746449654;32
Felis.silvestris;0.463165409;0.546601009;0.559989556;0.573194831;0.700399506;0.503432619;0.505972171;0.683416983;0.515614596;0.611743588;0;0.611659208;0.552007446;32
Homo_neand;0.76098492;0.806708667;0.743218133;0.771059347;0.827545285;0.815898639;0.795858845;0.776383416;0.830156388;0.713597526;0.611659208;0;0.827573883;32
Homo.sapiens;0.804071167;0.87425492;0.798656664;0.83304889;0.728802547;0.865232907;0.897265998;0.736901158;0.871270105;0.746449654;0.552007446;0.827573883;0;32
Ursus.spelaeus;0;0.82094051;0.793894978;0.784514497;0.653898953;0.849904713;0.858016426;0.673445482;0.838691789;0.684975312;0.46456013;0.758198341;0.809087394;33
Ursus.arctos;0.82094051;0;0.796189461;0.824757449;0.713721191;0.8713868;0.898841305;0.734810365;0.886617009;0.730875239;0.548216458;0.80760042;0.877252353;33
Panthera.spelaea;0.793894978;0.796189461;0;0.833562849;0.659159198;0.781625073;0.811963473;0.721147663;0.760293336;0.768194035;0.564009666;0.745981605;0.797013877;33
Panthera.leo;0.784514497;0.824757449;0.833562849;0;0.702111105;0.794835767;0.830845276;0.764767375;0.771286282;0.817221702;0.572417516;0.768439441;0.828120384;33
Panthera.pardus;0.653898953;0.713721191;0.659159198;0.702111105;0;0.70536442;0.681975231;0.746345714;0.726721316;0.671177554;0.702764234;0.823790728;0.728229212;33
Crocuta.crocuta;0.849904713;0.8713868;0.781625073;0.794835767;0.70536442;0;0.883303583;0.699955503;0.873018009;0.703205498;0.506717989;0.81452126;0.869257589;33
Canis.lupus;0.858016426;0.898841305;0.811963473;0.830845276;0.681975231;0.883303583;0;0.712175894;0.901533699;0.722329915;0.50490245;0.792959287;0.89852434;33
Meles.meles;0.673445482;0.734810365;0.721147663;0.764767375;0.746345714;0.699955503;0.712175894;0;0.693703064;0.761984112;0.684388685;0.776937153;0.729342107;33
Vulpes.vulpes;0.838691789;0.886617009;0.760293336;0.771286282;0.726721316;0.873018009;0.901533699;0.693703064;0;0.671708346;0.514943958;0.827191816;0.876296059;33
Vulpes.lagopus;0.684975312;0.730875239;0.768194035;0.817221702;0.671177554;0.703205498;0.722329915;0.761984112;0.671708346;0;0.613623787;0.715840341;0.738344433;33
Felis.silvestris;0.46456013;0.548216458;0.564009666;0.572417516;0.702764234;0.506717989;0.50490245;0.684388685;0.514943958;0.613623787;0;0.617085236;0.55015051;33
Homo_neand;0.758198341;0.80760042;0.745981605;0.768439441;0.823790728;0.81452126;0.792959287;0.776937153;0.827191816;0.715840341;0.617085236;0;0.827700976;33
Homo.sapiens;0.809087394;0.877252353;0.797013877;0.828120384;0.728229212;0.869257589;0.89852434;0.729342107;0.876296059;0.738344433;0.55015051;0.827700976;0;33
Ursus.spelaeus;0;0.819371431;0.791875299;0.783405003;0.653433562;0.849036341;0.857082129;0.673028501;0.838486521;0.683730685;0.465325831;0.758313353;0.812272207;34
Ursus.arctos;0.819371431;0;0.79506695;0.823739523;0.712419003;0.871591648;0.898807125;0.734201167;0.886163145;0.729506501;0.546834603;0.806698024;0.878804733;34
Panthera.spelaea;0.791875299;0.79506695;0;0.8329294;0.660718148;0.781275528;0.810946107;0.725940466;0.760418613;0.768667851;0.56888037;0.748057257;0.795151209;34
Panthera.leo;0.783405003;0.823739523;0.8329294;0;0.701928305;0.794568324;0.829805403;0.764449592;0.770777496;0.816245992;0.573460676;0.768396604;0.825381309;34
Panthera.pardus;0.653433562;0.712419003;0.660718148;0.701928305;0;0.705446234;0.681332576;0.744862173;0.724417362;0.672361351;0.702137998;0.822804539;0.727709184;34
Crocuta.crocuta;0.849036341;0.871591648;0.781275528;0.794568324;0.705446234;0;0.882374186;0.699803149;0.872576265;0.703191839;0.507910241;0.812501577;0.872500337;34
Canis.lupus;0.857082129;0.898807125;0.810946107;0.829805403;0.681332576;0.882374186;0;0.710873679;0.902233875;0.720745378;0.50526917;0.791131078;0.900315212;34
Meles.meles;0.673028501;0.734201167;0.725940466;0.764449592;0.744862173;0.699803149;0.710873679;0;0.692025998;0.763485998;0.685658944;0.780254251;0.725141277;34
Vulpes.vulpes;0.838486521;0.886163145;0.760418613;0.770777496;0.724417362;0.872576265;0.902233875;0.692025998;0;0.670614825;0.513305034;0.824999619;0.88005106;34
Vulpes.lagopus;0.683730685;0.729506501;0.768667851;0.816245992;0.672361351;0.703191839;0.720745378;0.763485998;0.670614825;0;0.615706144;0.71781687;0.732998465;34
Felis.silvestris;0.465325831;0.546834603;0.56888037;0.573460676;0.702137998;0.507910241;0.50526917;0.685658944;0.513305034;0.615706144;0;0.619732971;0.546937847;34
Homo_neand;0.758313353;0.806698024;0.748057257;0.768396604;0.822804539;0.812501577;0.791131078;0.780254251;0.824999619;0.71781687;0.619732971;0;0.826086514;34
